column,dtype,non_null,nulls,pct_null
index,int64,7703,0,0.0
UNITID,int64,7703,0,0.0
OPEID,int64,7703,0,0.0
OPEID6,int64,7703,0,0.0
INSTNM,object,7703,0,0.0
CITY,object,7703,0,0.0
STABBR,object,7703,0,0.0
INSTURL,object,7626,77,1.0
NPCURL,object,7158,545,7.08
HCM2,int64,7703,0,0.0
PREDDEG,int64,7703,0,0.0
CONTROL,int64,7703,0,0.0
LOCALE,float64,7282,421,5.47
HBCU,float64,7282,421,5.47
PBI,float64,7282,421,5.47
ANNHI,float64,7282,421,5.47
TRIBAL,float64,7282,421,5.47
AANAPII,float64,7282,421,5.47
HSI,float64,7282,421,5.47
NANTI,float64,7282,421,5.47
MENONLY,float64,7282,421,5.47
WOMENONLY,float64,7282,421,5.47
RELAFFIL,float64,7109,594,7.71
SATVR25,float64,1195,6508,84.49
SATVR75,float64,1195,6508,84.49
SATMT25,float64,1208,6495,84.32
SATMT75,float64,1208,6495,84.32
SATWR25,float64,734,6969,90.47
SATWR75,float64,734,6969,90.47
SATVRMID,float64,1195,6508,84.49
SATMTMID,float64,1208,6495,84.32
SATWRMID,float64,734,6969,90.47
ACTCM25,float64,1257,6446,83.68
ACTCM75,float64,1257,6446,83.68
ACTEN25,float64,1108,6595,85.62
ACTEN75,float64,1108,6595,85.62
ACTMT25,float64,1110,6593,85.59
ACTMT75,float64,1110,6593,85.59
ACTWR25,float64,299,7404,96.12
ACTWR75,float64,299,7404,96.12
ACTCMMID,float64,1257,6446,83.68
ACTENMID,float64,1108,6595,85.62
ACTMTMID,float64,1110,6593,85.59
ACTWRMID,float64,299,7404,96.12
SAT_AVG,float64,1304,6399,83.07
SAT_AVG_ALL,float64,1411,6292,81.68
PCIP01,float64,6989,714,9.27
PCIP03,float64,6989,714,9.27
PCIP04,float64,6989,714,9.27
PCIP05,float64,6989,714,9.27
PCIP09,float64,6989,714,9.27
PCIP10,float64,6989,714,9.27
PCIP11,float64,6989,714,9.27
PCIP12,float64,6989,714,9.27
PCIP13,float64,6989,714,9.27
PCIP14,float64,6989,714,9.27
PCIP15,float64,6989,714,9.27
PCIP16,float64,6989,714,9.27
PCIP19,float64,6989,714,9.27
PCIP22,float64,6989,714,9.27
PCIP23,float64,6989,714,9.27
PCIP24,float64,6989,714,9.27
PCIP25,float64,6989,714,9.27
PCIP26,float64,6989,714,9.27
PCIP27,float64,6989,714,9.27
PCIP29,float64,6989,714,9.27
PCIP30,float64,6989,714,9.27
PCIP31,float64,6989,714,9.27
PCIP38,float64,6989,714,9.27
PCIP39,float64,6989,714,9.27
PCIP40,float64,6989,714,9.27
PCIP41,float64,6989,714,9.27
PCIP42,float64,6989,714,9.27
PCIP43,float64,6989,714,9.27
PCIP44,float64,6989,714,9.27
PCIP45,float64,6989,714,9.27
PCIP46,float64,6989,714,9.27
PCIP47,float64,6989,714,9.27
PCIP48,float64,6989,714,9.27
PCIP49,float64,6989,714,9.27
PCIP50,float64,6989,714,9.27
PCIP51,float64,6989,714,9.27
PCIP52,float64,6989,714,9.27
PCIP54,float64,6989,714,9.27
DISTANCEONLY,float64,7282,421,5.47
UGDS,float64,6990,713,9.26
UGDS_WHITE,float64,6990,713,9.26
UGDS_BLACK,float64,6990,713,9.26
UGDS_HISP,float64,6990,713,9.26
UGDS_ASIAN,float64,6990,713,9.26
UGDS_AIAN,float64,6990,713,9.26
UGDS_NHPI,float64,6990,713,9.26
UGDS_2MOR,float64,6990,713,9.26
UGDS_NRA,float64,6990,713,9.26
UGDS_UNKN,float64,6990,713,9.26
PPTUG_EF,float64,6969,734,9.53
CURROPER,int64,7703,0,0.0
NPT4_PUB,float64,1911,5792,75.19
NPT4_PRIV,float64,4688,3015,39.14
NPT41_PUB,float64,1907,5796,75.24
NPT42_PUB,float64,1818,5885,76.4
NPT43_PUB,float64,1761,5942,77.14
NPT44_PUB,float64,1569,6134,79.63
NPT45_PUB,float64,1295,6408,83.19
NPT41_PRIV,float64,4635,3068,39.83
NPT42_PRIV,float64,3845,3858,50.08
NPT43_PRIV,float64,3442,4261,55.32
NPT44_PRIV,float64,2758,4945,64.2
NPT45_PRIV,float64,2245,5458,70.86
PCTPELL,float64,6966,737,9.57
RET_FT4,float64,2293,5410,70.23
RET_FTL4,float64,3843,3860,50.11
RET_PT4,float64,1412,6291,81.67
RET_PTL4,float64,2208,5495,71.34
PCTFLOAN,float64,6966,737,9.57
UG25ABV,float64,6828,875,11.36
MD_EARN_WNE_P10,object,6534,1169,15.18
GT_25K_P6,object,6534,1169,15.18
GRAD_DEBT_MDN_SUPP,object,7671,32,0.42
GRAD_DEBT_MDN10YR_SUPP,object,7671,32,0.42
RPY_3YR_RT_SUPP,object,6801,902,11.71
C150_L4_POOLED_SUPP,object,3972,3731,48.44
C150_4_POOLED_SUPP,object,2497,5206,67.58
